vocab,tp,fp,tn,fn
18910,350,113,10969,120
19126,359,177,10905,104
19485,343,110,10972,120
18129,378,168,10914,119
18614,263,41,11041,240
19499,227,42,11040,236
20432,290,59,11023,173
19686,358,207,10875,105
19243,368,179,10903,95
19981,347,148,10934,116
20031,387,181,10901,76
19282,285,39,11043,214
19372,342,153,10929,121
20712,340,107,10975,123
19408,357,228,10854,106
19088,371,191,10891,92
19204,364,182,10900,99
20066,328,83,10999,135
18826,334,119,10963,151
18761,311,66,11016,189
19420,365,121,10961,98
20291,313,109,10973,150
18494,320,72,11010,181
18687,355,173,10909,108
18768,286,74,11008,199
17734,395,179,10903,102
18935,358,152,10930,105
19170,337,110,10972,126
19826,366,145,10937,97
18296,375,292,10790,88
19228,305,93,10989,178
20335,340,111,10971,123
17984,333,80,11002,176
18844,373,204,10878,90
19056,394,294,10788,69
18758,273,49,11033,221
18618,371,193,10889,92
19993,325,93,10989,138
19955,341,136,10946,122
18872,392,298,10784,71
20071,312,106,10976,151
18169,199,16,11066,316
18732,361,158,10924,102
19238,257,47,11035,236
19293,360,151,10931,103
19689,327,123,10959,136
18822,288,48,11034,205
18010,301,68,11014,204
18855,375,198,10884,88
18926,401,357,10725,62
18381,380,199,10883,83
18412,368,187,10895,95
18484,225,30,11052,290
19183,322,77,11005,141
19583,395,289,10793,68
19701,270,66,11016,213
18782,342,114,10968,121
19039,357,127,10955,106
18156,316,96,10986,183
17905,306,59,11023,194
19249,258,55,11027,228
17770,381,101,10981,131
20157,244,31,11051,251
19732,388,218,10864,75
19975,326,110,10972,137
18848,357,180,10902,106
19070,205,28,11054,304
19435,315,112,10970,148
20090,326,82,11000,137
19523,199,32,11050,300
18279,197,28,11054,319
19707,370,108,10974,93
20163,316,80,11002,147
19671,345,157,10925,118
19298,348,157,10925,115
18712,216,38,11044,294
19245,310,69,11013,170
18735,404,384,10698,59
17450,207,22,11060,301
19581,342,145,10937,121
19391,303,50,11032,185
20527,295,88,10994,168
20188,366,175,10907,97
17742,275,65,11017,224
18846,419,455,10627,44
18684,359,162,10920,104
19054,344,131,10951,119
19471,349,127,10955,114
17983,381,279,10803,82
20159,295,63,11019,168
19126,301,82,11000,167
19425,340,133,10949,123
19129,407,343,10739,56
19316,363,140,10942,100
19270,380,225,10857,83
19696,316,77,11005,147
19594,323,113,10969,140
18986,390,302,10780,73
17512,419,238,10844,74
20152,362,147,10935,101
17661,410,443,10639,53
