uuid,author,published,title,text,crawled,domain,URL
3ad78f111e32c94974ab2f0cec5323d1cee77c61,The Associated Press,2017-03-23T19:25:34Z,Trump's Obamacare repeal hits setback as House delays vote,"Republican House leaders delayed their planned vote Thursday on a long-promised bill to repeal and replace Obamacare, in a stinging setback for House Speaker Paul Ryan and U.S. President Donald Trump in their first major legislative test.
The decision came after Trump, who ran as a master deal-maker, failed to reach agreement with a bloc of rebellious conservatives. Moderate-leaning Republican lawmakers were also bailing on the legislation, leaving it short of votes.

House Republicans met behind closed doors Thursday night to consider their next steps, and emerged later saying they will vote Friday afternoon even though leadership is still trying to secure the votes.
Senior White House adviser Steve Bannon told reporters as he left the meeting that the administration wants a vote.
Budget director Mick Mulvaney told lawmakers, ""Negotiations are over. We'd like to vote tomorrow and let's get this done for the American people.""



The cancelling of Thursday's vote came on the seven-year anniversary of former president Barack Obama signing the Affordable Care Act, years that Republicans have devoted to promising repeal.
Those promises helped them keep control of the House and Senate and win the White House, but now, at the moment of truth, they are falling short.
""No deal,"" House Freedom Caucus chairman Mark Meadows, a Republican from North Carolina, said after he and his group of more than two dozen rebellious conservatives met with Trump to try to get more concessions to reduce requirements on insurance companies.

The Republican legislation would halt Obama's tax penalties against people who don't buy coverage and cut the federal-state Medicaid program for low earners, which the Obama statute had expanded. It would provide tax credits to help people pay medical bills, though generally skimpier than Obama's statute provides. It also would allow insurers to charge older Americans more and repeal tax boosts the law imposed on high-income people and health industry companies.
The measure would also block federal payments to Planned Parenthood for a year, another stumbling block for Republican moderates.

In a danger sign for Republicans, a Quinnipiac University poll suggested that people disapprove of the Republican legislation by 56 per cent to 17 per cent, with 26 per cent undecided. Trump's handling of health care was viewed unfavourably by six in 10.
The survey was conducted March 16 to 21 with a margin of sampling error of plus or minus three percentage points.
Republican leaders had targeted Thursday for the climactic vote, in part because it marks the seventh anniversary of Obama's signing the measure into law. With the House in recess awaiting the outcome of the White House meeting, C-SPAN aired video of that signing ceremony.

House minority leader Nancy Pelosi, a Democrat from California, couldn't resist a dig.
""You may be a great negotiator,"" she said of Trump. ""Rookie's error for bringing this up on a day when clearly you're not ready.""
In a count by The Associated Press, at least 30 Republicans said they opposed the bill, enough to defeat the measure. But the number was in constant flux amid the 11th-hour lobbying.

Including vacancies and expected absentees, the bill would be defeated if 23 Republicans join all Democrats in voting ""no.""
Obama declared in a statement that ""America is stronger"" because of the current law and Democrats must make sure ""any changes will make our health-care system better, not worse for hardworking Americans."" Trump tweeted to supporters, ""Go with our plan! Call your Rep &amp; let them know.""

Tension has been building in advance of the critical vote, and a late-night meeting of moderate-leaning members in Speaker Ryan's office Wednesday broke up without resolution.
A key moderate who had been in the meeting, Charlie Dent of Pennsylvania, issued a statement saying he would be voting ""no"" on the health bill. ""I believe this bill, in its current form, will lead to the loss of coverage and make insurance unaffordable for too many Americans,"" said Dent, a leader of the Tuesday Group of moderate-leaning Republicans.

Congressional leaders have increasingly put the onus on the president to close the deal, seemingly seeking to ensure that he takes ownership of the legislation — and with it, ownership of defeat if that is the outcome.
Moderates were given pause by projections of 24 million Americans losing coverage in a decade and higher out-of-pocket costs for many low-income and older people, as predicted by the nonpartisan Congressional Budget Office.",2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/trump-ryan-health-care-bill-house-delay-vote-republicans-1.4038417?cmp=rss
748a5859442e3284ee3c2860e48065132e311db1,The Associated Press,2017-03-23T19:25:34Z,"U.K. attacker ID'd as Khalid Masood, British-born man once investigated for 'violent extremism'","Khalid Masood, 52, has been identified as the man behind the deadly attacks Wednesday in London outside Britain's Parliament.
The death toll from the attack rose to four on Thursday when police announced a 75-year-old man ""died tonight after his life-support was withdrawn.""
Masood was born in Kent to the southeast of London and had been most recently living in central England, London police said.
""Masood was not the subject of any current investigations and there was no prior intelligence about his intent to mount a terrorist attack,"" police said in a statement. ""However, he was known to police and has a range of previous convictions for assaults, including GBH [grievous bodily harm], possession of offensive weapons and public order offences.""
Earlier, U.K. Prime Minister Theresa May said the attacker had been investigated by British intelligence ""some years ago.""

May said he had been investigated by MI-5, the U.K.'s intelligence service, ""in relation to concerns of violent extremism,"" but that he was not part of what she called the current intelligence picture, saying he was a ""peripheral figure.""
Masood sped across Westminster Bridge in a car, ploughing into pedestrians along the way, then ran through the gates of the nearby Parliament building and fatally stabbed an unarmed policeman before being shot dead.

May and British police say they believe he acted alone and was ""inspired by international terrorism."" She said there is no reason to believe that ""imminent further attacks"" are planned.
She called Wednesday's events ""an attack on free people everywhere.""

ISIS, the Islamic State in Iraq and Syria, claimed responsibility for the attack, the group's Amaq news agency said on Thursday. The group has been responsible for numerous bloody attacks around the globe, but also has claimed certain attacks in a show of opportunism.



Forty people were injured and 29 remain in hospital, seven of whom are in critical condition. 


Those still in hospital include:


A Mormon church official says a Utah man was one of the people killed and his wife was seriously wounded and remains in hospital. Kurt W. Cochran and his wife, Melissa, were on the last day of a trip celebrating their 25th wedding anniversary on Wednesday when the attacker struck.
The church said Thursday the Utah couple was also visiting the woman's parents who are Mormon missionaries in London.
And earlier, the Spanish Foreign Ministry said a British national whose mother is Spanish has been identified as one of the people killed.

A spokesman said that Spanish consular officials made contact with Aysha Frade's relatives in Spain's northwestern region of Galicia after her identity was confirmed. He was unable to give any further details.
The regional Voz de Galicia newspaper said that Frade was 43 years old and was teaching Spanish in London.
The identity of the 75-year-old who died Thursday was not immediately clear.

Westminster Bridge has reopened, nearly 24 hours after the attack. 
Some areas around Parliament were still cordoned off on Thursday morning and a line of forensic investigators in light blue coveralls were on their hands and knees, examining the scene where the attacker was shot.
Queen Elizabeth sent her condolences on Thursday to those affected by the attack.
""My thoughts, prayers, and deepest sympathy are with all those who have been affected by yesterday's awful violence,"" she said in a statement. The Queen was due to officially open the new headquarters of London's police force on Thursday but will now do so at a later date.
Britain's Parliament this morning observed a minute of silence to mourn the victims.  
Flags at Parliament have been lowered to half-mast.



Since the attack, police have raided six addresses, including in London and Birmingham, which have resulted in eight arrests in total.
Mark Rowley, assistant commissioner with the Metropolitan Police, said they are continuing to investigate the attacker's ""motivation, his preparation and his associates.""
May and Rowley said there will be an increased police presence in the city, including armed and unarmed officers, as well as more patrols.



The policeman has been identified as Keith Palmer, 48.
Conservative MP Tobias Ellwood, whose brother was killed in the Bali terror attack in 2002, performed first aid on the wounded police officer, who later died. About 10 yards away lay the assailant.
""I tried to stem the flow of blood and give mouth to mouth while waiting for the medics to arrive but I think he had lost too much blood,"" Ellwood said. ""He had multiple wounds, under the arm and in the back.""

May praised Palmer, calling him a hero who ""devoted his life to the service of his country."" She said the husband and father had been a member of the parliamentary and diplomatic protection command for 15 years. He had also been a soldier in the Royal Artillery. 
In Parliament Thursday, Conservative MP James Cleverly called for Palmer to receive posthumous recognition for his ""gallantry and sacrifice.""
Choking back tears, Cleverly said he first met Palmer 25 years ago as ""Gunner Keith Palmer"" when both men served in the Royal Artillery.
Cleverly said Palmer was ""a strong, professional public servant and it was a delight to meet him again only a few months after being elected.""


Romanian officials say the woman who plunged into the River Thames was a Romanian tourist in London to celebrate her boyfriend's birthday.

Foreign Ministry spokesman Ionut Valcu said Thursday that the woman fell into the Thames. It wasn't clear if she jumped or was thrown into the water by the SUV.
Romanian Ambassador Dan Mihalache told Realitatea TV late Wednesday that the woman sustained serious head injuries and has badly damaged lungs. Her boyfriend suffered a foot fracture. The pair haven't been named.
Mihalache said: ""They were tourists, unfortunately they were unlucky. They had come to celebrate his birthday."" He said the pair planned to wed.


A 26-year-old Portuguese man was among the injured.
Francisco Lopes told Portuguese channel TVI that he heard shouts behind him as he walked across Westminster Bridge and, when he turned around, he was struck by the vehicle which had mounted the sidewalk.

He said he lost consciousness and woke up racked with pain. He sustained cuts on a knee and a hand but was released from Chelsea-Westminster hospital after treatment.
""I was lucky,"" said Lopes, who lives in London with his mother.
Portuguese authorities confirmed that consular officials provided assistance to Lopes.
Here is how the attack on Wednesday unfolded: 

​",2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/britain-westminster-attack-investigation-thurs-1.4037373?cmp=rss
ec3a3569132b50c0c255693884952f7e56bda627,Nahlah Ayed,2017-03-23T19:25:34Z,Resilience of Londoners resurfaces in wake of deadly attack,"In stoic London, the sirens are just part of the big city soundtrack.
But the gunshots were startling.
In a country where 500 counterterrorism investigations are underway at any one time, the sight of masked men with guns was frightening — all the more so at the foot of Big Ben.
And so mid-afternoon , London had to take just a moment to compose itself.
""This is a day that we had planned for, that we all hoped would never happen. But sadly it is now a reality,"" said Mark Rowley, the Metropolitan Police's head of counterterrorism.

In the indifferent rush of a London workday, a man armed only with a car and a knife was bound to slip through, killing three people before police shot him dead.
Painful, surely, for the security services, because London hasn't seen an attack of this scale since 2005. And in less than four years, police have managed to foil 13 Paris-style attacks — a fact they just shared with the public earlier this month.

Police have so many examples, they've started making podcasts for the public about how they brought down real-life plots.  

But just as surely as a lone attacker would eventually evade London's security services and 24-hour surveillance, London was bound to recover quickly when it did happen.

Once the initial horror was over, the resilience that comes with living for years with a severe threat of attack resurfaced. Severe means an attack is ""highly likely.""
Once out of lockdown, people with backpacks and bikes left quietly. Black cabs arrived to pick up customers. Construction workers in yellow vests within view of Big Ben started up again.
Courteous civil servants politely refused interviews because, one took the time to explain, civil servants aren't supposed to talk to the press.
Others were happy to discuss the inevitability of it all.
""It was expected at some stage that something like this would happen in the U.K.,"" said a woman who had been under lockdown in a building near Westminster.
""We were just lucky it hasn't happened before now.""

Police, too, knew it was coming. Just four days ago, they staged the latest in a never-ending rotation of police exercises that simulate attacks. In this one, it was a hijacked tourist boat. Just a chance to demonstrate competence to deal with such attacks, God forbid one should happen, said a police spokesperson.
But it did happen. In  very real scenario, the attack happened at the entrance to the world's oldest Parliament.

And there — just as it was — the attack was met with defiance.
""Parliament buildings all over the democratic world are under threat from those who want to destroy democracy and freedom. They won't succeed,"" said Conservative MP Martin Vickers, who was inside Parliament when the attacker struck.
Labour MP Chris Bryant, who had been under lockdown for hours without information, came out insisting that Parliament sit as usual today.
Hours earlier, Parliament's Twitter account had said it would, and Prime Minister Theresa May later confirmed as much.

Near Westminster, we're reminded that a few blocks away, plaques commemorate the lives of civilians killed in bombings during the Northern Ireland conflict.
""I have always worked in this area, so I was here when the IRA bombed it so — you kind of get used to it,"" said Michael Burrell. ""It's just terribly sad.""
London's mayor, Sadiq Khan, said ""Londoners will never be cowed by terrorism.""

There will be more armed and unarmed police on the streets, at tube stations, around Westminster. There will be tension over the Islamist connection to the attacks.
But yesterday, even with the backdrop of tragedy, London's usual, brash soundtrack played on.
Just a short distance away from the bridge where people had lost their lives, pub patrons sipped on lager, taking stock of the day. A woman snapped a photo of a display at a clothing store.
Thousands of Westminster workers were starting their way home on foot, busy talking on phones.
The phrase heard most often: ""I love you.""",2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/resilience-of-londoners-resurfaces-in-wake-of-deadly-attack-1.4036719?cmp=rss
cd6674c001db0c3940191a636f1931318ee5224e,Ciara Long,2017-03-23T19:25:34Z,Canada suspends meat imports from 2 Brazil plants in food scandal,"The Canadian government has suspended imports from two Brazilian meat producers under investigation for allegedly doctoring and selling rotten meat while paying officials to turn a blind eye. 
The Canadian Food Inspection Agency announced earlier this week it was banning beef and poultry products from JBS and BRF, two of the world's biggest meat companies.
Some other jurisdictions went further: Argentina, Chile, Mexico, Japan and the European Union have banned imports from those producers as well as the other 20 smaller plants implicated in the investigation. On Thursday, China also confirmed a ban after its initial ambiguous measures left hundreds of tons of meat adrift at sea and shipping companies unable to deliver meat or use the country's ports as their transshipment points, as they usually do.

The scandal emerged last Friday after Brazil's national police announced the findings of a two-year investigation involving the meat producers' practices and alleged corruption among some government officials.
The investigators allege that JBS and BRF disguised inedible beef, pork and chicken, bound for both domestic consumption and export, by injecting the meat with chemicals and acids to improve its appearance and smell; by mixing expired meat with healthy meat; and by fleshing out meat that was considered weak with water and low-cost starch, such as manioc flour.
Both companies deny any wrongdoing, while Brazilian politicians downplayed the scandal. Ministry of Agriculture spokesperson Eumar Novacki said at a news conference that consuming meat from these companies posed only ""very small risks"" for consumers, while Brazilian President Michel Temer called the scandal ""a fuss.""

That has done little to reassure the 150 countries that the two companies export to. 
""The reputation of Brazilian beef, and indeed all Brazilian agricultural product, will be tarnished — I have no doubt about that,"" Prof. Chris Elliot, founder of the Institute for Global Food Security, told CBC News. ""For Brazil, being such a large meat-producing country and exporting so much across the world, it seems to be quite remarkable that there's such a widespread fraud going on.""

Investigators say Operation Weak Meat uncovered evidence of bribes paid to Brazilian officials, including some at the federal Ministry of Agriculture, to look the other way. Police issued 38 arrest warrants and closed 21 meat-packing facilities for further inspection.
Brazil's federal Justice Minister, Osmar Serraglio, was allegedly caught on tape calling one of the inspectors under investigation ""big boss"" in a phone conversation with one of the leaders of the bribery scheme in Parana state.
Serraglio, who oversees the investigating police force, said the police raids prove he is not interfering in the inquiry. Police in Brazil said there was insufficient evidence to launch a separate investigation into the minister's involvement. 

Prof. Decio Zylbersztajn, founder of Agribusiness Intelligence Center-PENSA, told CBC News in an email that he was not surprised by the scandal.
""Agribusiness is not more or less involved with corruption than any other sector,"" Zylbersztajn said. ""Opportunism is a reality that must be faced by governments and corporations.""
Brazil exported $5.9 billion worth of poultry and $4.3 billion worth of beef in 2015, with Japan, Russia and the Middle East being its principal customers. JBS and BRF account for a significant percentage of this trade.
Canada imports US $53 million worth of animal products from Brazil every year, according to MIT's , but there's no way of knowing how much Brazilian meat really makes it into Canadian supermarkets because the global supply chain is complicated.

Elliott says tracing a meat product's end destination is trickier than it seems. It is ""absolutely"" possible that the U.S. — which bought US $297.8 million of Brazil's meat in 2016 — processes meat from Brazil and sells it on to Canada.
""One of the most complicated supply chains in the world is red meat, particularly processed red meat,"" said Elliott. ""Food is a true global commodity, and knowing where your food comes from is close to impossible in many cases.""

Brazil relies on agribusiness as a key sector for stability as it struggles to pull itself out of recession. But Prof. Felipe Serigati, of the Sao Paulo School of Economics, told CBC News he doesn't expect the scandal to impact Brazil's economic recovery.
""Although the meat sector is important, the economy isn't going to grow more or shrink because of these events,"" Serigati said. ""There are very few economic sectors that could, in isolated form, destabilize the Brazilian economy,"" said Serigati.
However, Elliott anticipates the scandal will have worldwide consequences, provoking a rise in commodity prices globally. He also believes that similar arrangements — bribing officials to grade unsuitable meat as edible for consumption — will be uncovered in other countries that export large amounts of meat, as importers begin tighter inspections after Brazil's revelation.
""Over the next few weeks, you will see that this scandal will spread,"" he said. ""It's not just Brazil.""",2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/brazil-canada-meat-scandal-1.4038121?cmp=rss
db0a66e114f0726761addb56ed44d18776bfda6b,Matt Kwong,2017-03-23T19:25:34Z,Ivanka Trump's White House role: Ethics concerns collide with hope for a 'moderating' voice,,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/ivanka-trump-west-wing-adviser-white-house-1.4037034?cmp=rss
e51b77dcd838c89abc28fcf781bea418e2502576,Reuters,2017-03-23T19:25:34Z,'I blame the president': Fillon faults France's Hollande for scandal,"French presidential candidate François Fillon accused President François Hollande on Thursday of being involved in what he alleges is a government plot to spread damaging media leaks about his financial affairs.
""You have newspapers today which receive documents 48 hours after they were seized in searches, for example in my office in the National Assembly. Who gives them these documents? The government,"" he said in a television interview.
Asked if politicians or the justice system gave approval for this, Fillon said: ""I will go much further. I blame the president of the republic.""

Hollande ""condemns with the greatest firmness the false allegations of Fillon,"" the president's office said on Thursday.
Once the front-runner in the French presidential election, Fillon has been mired in a scandal over public money he paid his wife to be his parliamentary assistant. He denies allegations she did little work for the money, but suffered a serious blow last week when he learned he could be placed under formal investigation for misuse of public funds.
He was given preliminary charges last week.",2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/francois-fillon-hollande-blame-president-scandal-1.4038727?cmp=rss
8dccc31306bb3dc86082e2ccc08b951717db7693,CBC News,2017-03-23T19:25:34Z,U.S. set to recommend approval of Keystone XL pipeline on Friday,"The Keystone XL pipeline is expected to get a recommendation of approval from the U.S. State Department on Friday.
The Associated Press, which cited two unnamed sources, said Tom Shannon — who is undersecretary in the State Department — will issue the approval tomorrow.
That move would clear the way for the White House to approve the pipeline.
""We'll have an update on that for you tomorrow,"" White House spokesman Sean Spicer told reporters Thursday.
Politico earlier reported that the approval would come by Monday, which is the last day in a 60-day timeline set in motion by U.S. President Donald Trump back in January, when he issued an executive order that invited Calgary-based TransCanada Corp. to reapply for a presidential permit. The order also instructed the U.S. State Department to ""take all actions necessary and appropriate to facilitate its expeditious review."" 

The 1,900-kilometre, 90-centimetre diameter pipeline would bring about 830,000 barrels of oil a day from Hardisty, Alta., through Montana and South Dakota to Steele City, Neb. There it would tie into the existing Keystone pipeline, which carries oil to Illinois and Texas.
""We do anticipate a decision by the State Department during the 60 days they have been given,"" TransCanada spokesman Terry Cunha told CBC News in an email statement. ""At the moment, we continue to work with the administration on our presidential permit application.""
Approval from the U.S. government is not the final hurdle for the project. It still needs to win approval in Nebraska. A decision from the Nebraska Public Service Commission is expected in late September, Politico said.
The project also needs approval from landowners in the state.

""All of the approvals are in place north of the 49th parallel [for Keystone XL],"" Carr said Thursday on Parliament Hill. 



Keystone XL was originally rejected by then president Barack Obama, who turned it down in November 2015 saying it ""will not serve the national interests of the United States.""",2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/business/keystone-approval-us-government-1.4037797?cmp=rss
63b2cbad9ec513bbe136bc4d701a5de3901f45e9,The Associated Press,2017-03-23T19:25:34Z,"Israeli Jewish man arrested for bomb threats against Canadian, U.S. Jewish targets","A 19-year-old Israeli Jewish man was arrested in Israel Thursday as the primary suspect in a string of bomb threats targeting Jewish community centres and other institutions in Canada and the U.S.

Israeli police spokesman Micky Rosenfeld described the suspect as a hacker, but said his motives were still unclear. Israeli media identified him as an American-Israeli dual citizen and said he had been found unfit for compulsory service in the Israeli military.
""He's the guy who was behind the JCC threats,"" Rosenfeld said, referring to the dozens of anonymous threats phoned in to Jewish community centres in North America, as well as Australia, New Zealand, and in Israel over the past two months.
In Canada, threats have been made recently to Jewish community centres in , Calgary, , 
The U.S. Anti-Defamation League says there have been more than 120 bomb threats against U.S. Jewish community centres and day schools in the U.S. since Jan. 9. Those threats led to evacuations of the buildings, upset Jewish communities and raised fears of rising anti-Semitism. The threats were accompanied by acts of vandalism on several Jewish cemeteries.

The threats led to criticism of the White House for not speaking out fast enough. Last month, the White House denounced the threats and rejected ""anti-Semitic and hateful threats in the strongest terms.""
U.S. Attorney General Jeff Sessions says the arrest shows the Justice Department will not tolerate religious-oriented attacks.
Sessions said in a statement Thursday that the arrest is the result of a large investigation into hate crimes against the Jewish community. He says the Justice Department ""will not tolerate the targeting of any community in the country on the basis of their religious beliefs.""
He called work by the FBI and Israeli police ""outstanding.""

In a statement, JCC Association of North America president and CEO Doron Krakow applauded the work of law enforcement and emphasized the group's community centres are safe.
""We are gratified by the progress in this investigation, and applaud the commitment and leadership of the FBI and other federal agencies, Israeli law enforcement, and local law enforcement across the United States and Canada,"" said Krakow.

""Throughout this long running period of concern and disruption that we are hopeful has come to an end, JCCs have had the opportunity to review and assess our security protocols and procedures, and we are confident that JCCs are safer today than ever before.""

The head of a Jewish community centre in New Jersey that had been targeted by bomb threats says he's thankful that U.S. and international law enforcement prioritized the investigation and have caught a suspect.Jordan Shenker, head of the Kaplen JCC on the Palisades in Tenafly, N.J., says he is cautiously optimistic that the man arrested in Israel on Thursday acted alone and that the threats will be over.
Shenker says the arrest has led to a feeling of being able to exhale, but that the centre has always prioritized security and will continue to do so.
U.S. authorities also arrested a former journalist from St. Louis for allegedly threatening Jewish organizations. Juan Thompson has been indicted in New York on one count of cyberstalking.
But Israeli police described the local man as the primary suspect in the wave of threats.
Israeli police said the suspect made dozens of calls claiming to have placed bombs in public places and private companies, causing panic and ""significant economic damage,"" and disrupting public order, including by the hurried evacuations of a number of public venues around the world. 
Rosenfeld said the man called Delta Airlines in February 2015 and made a false threat about explosives aboard a flight from JFK airport in New York. The threat allegedly led to an emergency landing.

Rosenfeld said the man, from the south of Israel, used advanced technologies to mask the origin of his calls and communications to synagogues, community buildings and public venues. He said police searched his house Thursday morning and discovered antennas and satellite equipment.
""He didn't use regular phone lines. He used different computer systems so he couldn't be backtracked,"" Rosenfeld said.
Yaniv Azani, head of technology in the Israeli police's cyber unit, says the man used ""several different means to camouflage the various layers of communication mechanisms"" to carry out the calls.
Nimrod Vax, co-founder of U.S.-Israeli cybersecurity firm BigID, says the phone calls required a certain level of sophistication, but were ""not too difficult"" for an experienced hacker
After an intensive investigation in co-operation with FBI representatives who arrived in Israel, as well as other police organizations from various countries, technology was used to track down the suspect, Rosenfeld said.",2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/israeli-jewish-man-arrested-threats-1.4037564?cmp=rss
ac5fc0d549b46f0d06cd50e54ebb525f016b7627,The Associated Press,2017-03-23T19:25:34Z,Donald Trump Jr. called a 'disgrace' for slamming London Mayor Sadiq Khan after attack,"Donald Trump Jr. is facing criticism for a tweet sent in the hours after Wednesday's London attack that included a months-old comment from London Mayor Sadiq Khan that terror attacks are part of living in a big city, but left out that Khan was noting that residents need to ""be prepared"" for such attacks.
Trump Jr. tweeted : ""You have to be kidding me?!: Terror attacks are part of living in big city, says London Mayor Sadiq Khan."" The tweet included a link to a Sept. 22 story from Britain's Independent newspaper that included Khan's quote to the Evening Standard days earlier. Khan was speaking to the newspaper from New York, a day after a bomb went off in the city, leaving more than two dozen people hurt.



""Part and parcel of living in a great global city is you've got to be prepared for these things. You've got to be vigilant. You've got to support the police doing an incredibly hard job,"" he said.
British Member of Parliament Wes Streeting was among numerous Britons who responded to the tweet with criticism.

He called Trump Jr. ""a disgrace"" and accused him of using a terrorist attack for ""political gain.""
When asked about Trump Jr. on Thursday, Khan told CNN: ""I'm not going to respond to a tweet from Donald Trump Jr. I've been doing far more important things over the past 24 hours.""
He added that ""terrorists hate the fact"" that cities including London, New York and Paris have ""diverse communities living together peacefully.""",2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/donald-trump-jr-sadiq-kahn-london-mayor-attack-tweet-1.4038283?cmp=rss
12e7a9065dfbbf6cda7efe21e155c44ccd7b876e,The Associated Press,2017-03-23T19:25:34Z,Exiled former Russian lawmaker shot dead in Kyiv,"Former Russian lawmaker Denis Voronenkov was shot and killed in Kyiv Thursday in what the Ukrainian president described as an ""act of state terrorism"" by Russia, an accusation the Kremlin angrily rejected.


Voronenkov, who testified to Ukrainian investigators and criticized Russian policies after his move to Kyiv last fall, was shot dead by an unidentified gunman near the entrance of an upscale hotel in the Ukrainian capital.
The assailant also wounded Voronenkov's bodyguard, who fired back and wounded the gunman. Both were hospitalized but Ukrainian media cited hospital doctors later in the day as saying the gunman had died.
Ukrainian President Petro Poroshenko said Voronenkov's killing ""clearly shows the handwriting of Russian special services shown repeatedly in various European capitals in the past.""
In a statement released by his spokesman, Svyatoslav Tsegolko, Poroshenko described the victim as a key witness who gave testimony about ""Russian aggression"" to the Ukrainian authorities.
Russian President Vladimir Putin's spokesman, Dmitry Peskov, dismissed the claim of Russian involvement in the killing as ""absurd"" in a statement carried by Russian news agencies.

Russian Foreign Ministry spokeswoman Maria Zakharova went further, saying the ""killer regime"" in Kyiv ""will do its best to make sure that no one will ever know the truth about what happened.""
She added that Russia was shocked to hear Poroshenko's accusations without offering any evidence and as Ukrainian police were inspecting the crime scene.
Several hours after Voronenkov was killed, a team of investigators and police were seen working at the front door of the Premier Palace hotel, which is frequented by Kyiv's rich and powerful. The patch of the pavement by the door where he died was wet from water that utility workers had used.
Poroshenko said it wasn't accidental that Voronenkov's killing came on the same day as the fire that erupted at a Ukrainian military arsenal in the Kharkiv region, which Ukrainian officials said was caused by sabotage.

Voronenkov, 45, a former member of the communist faction in the lower house of Russian parliament who had obediently toed the Kremlin line, moved to Ukraine with his wife, singer Maria Maksakova, who was also a lawmaker. He said he had to leave Russia because of persecution by Russian security agencies and had renounced Russian citizenship. He had been granted Ukrainian citizenship.
He testified to Ukrainian investigators as part of their probe into the activities of the nation's former Russia-friendly president, Viktor Yanukovych, who was ousted by massive protests in February 2014.

After his move to Ukraine, Russian investigators filed fraud charges against Voronenkov in connection with his business activities. A Moscow court earlier this month sanctioned his arrest in absentia.
Ukraine's chief prosecutor, Yuriy Lutsenko, said Voronenkov was shot in the head, neck and stomach and died on the spot.
Lutsenko said the gunman carried a Ukrainian passport and had been sought by the authorities on fraud and money laundering charges.
Lutsenko said investigators were looking into Voronenkov's role in exposing a contraband ring in Russia which cost several senior security officers their jobs, and also his testimony on Yanukovych, as possible motives behind his killing.
Nikolai Kovalyov, the former Russian security chief who is a lawmaker, told Russian state television that the killing could have been rooted in a business dispute.
Peskov said that Putin was informed about Voronenkov's killing and voiced hope that Ukrainian authorities would solve the crime. He added that Voronenkov's widow was welcome to return to Russia.",2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/russian-lawmaker-shot-in-ukraine-kyiv-1.4037467?cmp=rss
