uuid,author,published,title,text,crawled,domain,URL
3ad78f111e32c94974ab2f0cec5323d1cee77c61,The Associated Press,2017-03-23T19:25:34Z,Trump's Obamacare repeal hits setback as House delays vote,republican house leaders delayed planned vote thursday long-promised bill repeal replace obamacare  stinging setback house speaker paul ryan u s  president donald trump major legislative test the decision trump  master deal-maker  failed reach agreement bloc rebellious conservatives  moderate-leaning republican lawmakers bailing legislation  leaving short votes house republicans met closed doors thursday night consider steps  emerged will vote friday afternoon leadership secure votes senior white house adviser steve bannon told reporters left meeting administration vote budget director mick mulvaney told lawmakers   negotiations over  we'd vote tomorrow let's american people  the cancelling thursday's vote seven-year anniversary president barack obama signing affordable care act  years republicans devoted promising repeal those promises helped control house senate win white house  now  moment truth  falling short  no deal   house freedom caucus chairman mark meadows  republican north carolina  group dozen rebellious conservatives met trump concessions reduce requirements insurance companies the republican legislation halt obama's tax penalties people buy coverage cut federal-state medicaid program low earners  obama statute expanded  provide tax credits help people pay medical bills  generally skimpier obama's statute provides  allow insurers charge older americans repeal tax boosts law imposed high-income people health industry companies the measure block federal payments planned parenthood year  stumbling block republican moderates in danger sign republicans  quinnipiac university poll suggested people disapprove republican legislation 56 cent 17 cent  26 cent undecided  trump's handling health care viewed unfavourably 10 the survey conducted march 16 21 margin sampling error minus three percentage points republican leaders targeted thursday climactic vote  marks seventh anniversary obama's signing measure law  house recess awaiting outcome white house meeting  c-span aired video signing ceremony house minority leader nancy pelosi  democrat california  couldn't resist dig  you great negotiator   trump   rookie's error bringing day clearly you're ready  in count associated press  30 republicans opposed bill  defeat measure  number constant flux amid 11th-hour lobbying including vacancies expected absentees  bill defeated 23 republicans join democrats voting  no  obama declared statement  america stronger  current law democrats  any changes will health-care system better  worse hardworking americans   trump tweeted supporters   go plan  call rep &amp  know  tension building advance critical vote  late-night meeting moderate-leaning members speaker ryan's office wednesday broke resolution a key moderate meeting  charlie dent pennsylvania  issued statement voting  no  health bill   i bill  current form  will lead loss coverage insurance unaffordable americans   dent  leader tuesday group moderate-leaning republicans congressional leaders increasingly onus president close deal  seemingly seeking ensure takes ownership legislation — it  ownership defeat outcome moderates pause projections 24 americans losing coverage decade higher out-of-pocket costs low-income older people  predicted nonpartisan congressional budget office  ,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/trump-ryan-health-care-bill-house-delay-vote-republicans-1.4038417?cmp=rss
748a5859442e3284ee3c2860e48065132e311db1,The Associated Press,2017-03-23T19:25:34Z,"U.K. attacker ID'd as Khalid Masood, British-born man once investigated for 'violent extremism'",khalid masood  52  identified man deadly attacks wednesday london britain's parliament the death toll attack rose thursday police announced 75-year-old man  died tonight life-support withdrawn  masood born kent southeast london living central england  london police said  masood subject current investigations prior intelligence intent mount terrorist attack   police statement   however  police range previous convictions assaults  including gbh [grievous bodily harm]  possession offensive weapons public order offences  earlier  u k  prime minister theresa attacker investigated british intelligence  some years ago  may investigated mi-5  u k 's intelligence service   in relation concerns violent extremism   called current intelligence picture   peripheral figure  masood sped westminster bridge car  ploughing pedestrians way  gates nearby parliament building fatally stabbed unarmed policeman shot dead may british police acted  inspired international terrorism   reason  imminent attacks  planned she called wednesday's events  an attack free people everywhere  isis  islamic state iraq syria  claimed responsibility attack  group's amaq news agency thursday  group responsible numerous bloody attacks globe  claimed attacks opportunism forty people injured 29 remain hospital  critical condition  hospital include:a mormon church official utah man people killed wife seriously wounded remains hospital  kurt w  cochran wife  melissa  day trip celebrating 25th wedding anniversary wednesday attacker struck the church thursday utah couple visiting woman's parents mormon missionaries london and earlier  spanish foreign ministry british national mother spanish identified people killed a spokesman spanish consular officials contact aysha frade's relatives spain's northwestern region galicia identity confirmed  unable details the regional voz de galicia newspaper frade 43 years teaching spanish london the identity 75-year-old died thursday clear westminster bridge reopened  24 hours attack  areas parliament cordoned thursday morning forensic investigators light blue coveralls hands knees  examining scene attacker shot queen elizabeth condolences thursday attack  my thoughts  prayers  deepest sympathy yesterday's awful violence   statement  queen officially open headquarters london's police force thursday will date britain's parliament morning observed minute silence mourn victims   flags parliament lowered half-mast since attack  police raided addresses  including london birmingham  arrests total mark rowley  assistant commissioner metropolitan police  continuing investigate attacker's  motivation  preparation associates  may rowley will increased police presence city  including armed unarmed officers  well patrols the policeman identified keith palmer  48 conservative mp tobias ellwood  brother killed bali terror attack 2002  performed aid wounded police officer  died  10 yards lay assailant  i stem flow blood mouth mouth waiting medics arrive lost blood   ellwood said   he multiple wounds  arm back  may praised palmer  calling hero  devoted life service country   husband father member parliamentary diplomatic protection command 15 years  soldier royal artillery  parliament thursday  conservative mp james cleverly called palmer receive posthumous recognition  gallantry sacrifice  choking tears  cleverly met palmer 25 years ago  gunner keith palmer  men served royal artillery cleverly palmer  a strong  professional public servant delight meet months elected  romanian officials woman plunged river thames romanian tourist london celebrate boyfriend's birthday foreign ministry spokesman ionut valcu thursday woman fell thames  wasn't clear jumped thrown water suv romanian ambassador dan mihalache told realitatea tv late wednesday woman sustained serious head injuries badly damaged lungs  boyfriend suffered foot fracture  pair named mihalache said:  they tourists  unlucky  celebrate birthday   pair planned wed a 26-year-old portuguese man injured francisco lopes told portuguese channel tvi heard shouts walked westminster bridge and  turned around  struck vehicle mounted sidewalk he lost consciousness woke racked pain  sustained cuts knee hand released chelsea-westminster hospital treatment  i lucky   lopes  lives london mother portuguese authorities confirmed consular officials provided assistance lopes here attack wednesday unfolded: ​ ,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/britain-westminster-attack-investigation-thurs-1.4037373?cmp=rss
ec3a3569132b50c0c255693884952f7e56bda627,Nahlah Ayed,2017-03-23T19:25:34Z,Resilience of Londoners resurfaces in wake of deadly attack,stoic london  sirens big city soundtrack but gunshots startling in country 500 counterterrorism investigations underway time  sight masked men guns frightening — foot big ben and mid-afternoon   london moment compose itself  this day planned for  hoped happen  sadly reality   mark rowley  metropolitan police's head counterterrorism in indifferent rush london workday  man armed car knife bound slip through  killing three people police shot dead painful  surely  security services  london attack scale 2005  years  police managed foil 13 paris-style attacks — fact shared public earlier month police examples  started making podcasts public brought real-life plots   surely lone attacker eventually evade london's security services 24-hour surveillance  london bound recover happen once initial horror over  resilience living years severe threat attack resurfaced  severe attack  highly likely  once lockdown  people backpacks bikes left quietly  black cabs arrived pick customers  construction workers yellow vests view big ben started again courteous civil servants politely refused interviews because  time explain  civil servants aren't supposed talk press others happy discuss inevitability all  it expected stage happen u k    woman lockdown building westminster  we lucky happened now  police  too  knew coming  days ago  staged latest never-ending rotation police exercises simulate attacks  one  hijacked tourist boat  chance demonstrate competence deal attacks  god forbid happen  police spokesperson but happen   real scenario  attack happened entrance world's oldest parliament and — — attack met defiance  parliament buildings democratic threat destroy democracy freedom  won't succeed   conservative mp martin vickers  inside parliament attacker struck labour mp chris bryant  lockdown hours information  insisting parliament sit usual today hours earlier  parliament's twitter account would  prime minister theresa confirmed much near westminster  we're reminded blocks away  plaques commemorate lives civilians killed bombings northern ireland conflict  i worked area  ira bombed — kind it   michael burrell   it's terribly sad  london's mayor  sadiq khan   londoners will cowed terrorism  there will armed unarmed police streets  tube stations  westminster  will tension islamist connection attacks but yesterday  backdrop tragedy  london's usual  brash soundtrack played on just short distance bridge people lost lives  pub patrons sipped lager  stock day  woman snapped photo display clothing store thousands westminster workers starting foot  busy talking phones the phrase heard often:  i love you   ,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/resilience-of-londoners-resurfaces-in-wake-of-deadly-attack-1.4036719?cmp=rss
cd6674c001db0c3940191a636f1931318ee5224e,Ciara Long,2017-03-23T19:25:34Z,Canada suspends meat imports from 2 Brazil plants in food scandal,canadian government suspended imports brazilian meat producers investigation allegedly doctoring selling rotten meat paying officials turn blind eye  canadian food inspection agency announced earlier week banning beef poultry products jbs brf  world's biggest meat companies some jurisdictions further: argentina  chile  mexico  japan european union banned imports producers well 20 smaller plants implicated investigation  thursday  china confirmed ban initial ambiguous measures left hundreds tons meat adrift sea shipping companies unable deliver meat country's ports transshipment points  do the scandal emerged friday brazil's national police announced findings two-year investigation involving meat producers' practices alleged corruption government officials the investigators allege jbs brf disguised inedible beef  pork chicken  bound domestic consumption export  injecting meat chemicals acids improve appearance smell  mixing expired meat healthy meat  fleshing meat considered weak water low-cost starch  manioc flour both companies deny wrongdoing  brazilian politicians downplayed scandal  ministry agriculture spokesperson eumar novacki news conference consuming meat companies posed  very small risks  consumers  brazilian president michel temer called scandal  a fuss  that reassure 150 countries companies export to   the reputation brazilian beef  brazilian agricultural product  will tarnished — doubt that   prof  chris elliot  founder institute global food security  told cbc news   for brazil  large meat-producing country exporting world  remarkable there's widespread fraud going on  investigators operation weak meat uncovered evidence bribes paid brazilian officials  including federal ministry agriculture  way  police issued 38 arrest warrants closed 21 meat-packing facilities inspection brazil's federal justice minister  osmar serraglio  allegedly caught tape calling inspectors investigation  big boss  phone conversation leaders bribery scheme parana state serraglio  oversees investigating police force  police raids prove interfering inquiry  police brazil insufficient evidence launch separate investigation minister's involvement  prof  decio zylbersztajn  founder agribusiness intelligence center-pensa  told cbc news email surprised scandal  agribusiness involved corruption sector   zylbersztajn said   opportunism reality faced governments corporations  brazil exported $5 9 billion worth poultry $4 3 billion worth beef 2015  japan  russia middle east principal customers  jbs brf account percentage trade canada imports $53 worth animal products brazil year  mit's   there's knowing brazilian meat canadian supermarkets global supply chain complicated elliott tracing meat product's destination trickier seems   absolutely  u s  — bought $297 8 brazil's meat 2016 — processes meat brazil sells canada  one complicated supply chains red meat  processed red meat   elliott   food true global commodity  knowing food close impossible cases  brazil relies agribusiness key sector stability struggles pull recession  prof  felipe serigati  sao paulo school economics  told cbc news expect scandal impact brazil's economic recovery  although meat sector important  economy going grow shrink events   serigati said   there economic sectors could  isolated form  destabilize brazilian economy   serigati however  elliott anticipates scandal will worldwide consequences  provoking rise commodity prices globally  believes arrangements — bribing officials grade unsuitable meat edible consumption — will uncovered countries export large amounts meat  importers tighter inspections brazil's revelation  over weeks  will scandal will spread   said   it's brazil   ,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/brazil-canada-meat-scandal-1.4038121?cmp=rss
db0a66e114f0726761addb56ed44d18776bfda6b,Matt Kwong,2017-03-23T19:25:34Z,Ivanka Trump's White House role: Ethics concerns collide with hope for a 'moderating' voice, ,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/ivanka-trump-west-wing-adviser-white-house-1.4037034?cmp=rss
e51b77dcd838c89abc28fcf781bea418e2502576,Reuters,2017-03-23T19:25:34Z,'I blame the president': Fillon faults France's Hollande for scandal,french presidential candidate françois fillon accused president françois hollande thursday involved alleges government plot spread damaging media leaks financial affairs  you newspapers today receive documents 48 hours seized searches  example office national assembly  documents  government   television interview asked politicians justice system approval this  fillon said:  i will further  blame president republic  hollande  condemns greatest firmness false allegations fillon   president's office thursday once front-runner french presidential election  fillon mired scandal public money paid wife parliamentary assistant  denies allegations work money  suffered serious blow week learned formal investigation misuse public funds he preliminary charges week  ,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/francois-fillon-hollande-blame-president-scandal-1.4038727?cmp=rss
8dccc31306bb3dc86082e2ccc08b951717db7693,CBC News,2017-03-23T19:25:34Z,U.S. set to recommend approval of Keystone XL pipeline on Friday,keystone xl pipeline expected recommendation approval u s  state department friday the associated press  cited unnamed sources  tom shannon — undersecretary state department — will issue approval tomorrow that move clear white house approve pipeline  we'll update tomorrow   white house spokesman sean spicer told reporters thursday politico earlier reported approval monday  day 60-day timeline set motion u s  president donald trump january  issued executive order invited calgary-based transcanada corp  reapply presidential permit  order instructed u s  state department  take actions appropriate facilitate expeditious review   1 900-kilometre  90-centimetre diameter pipeline bring 830 000 barrels oil day hardisty  alta   montana south dakota steele city  neb  tie existing keystone pipeline  carries oil illinois texas  we anticipate decision state department 60 days given   transcanada spokesman terry cunha told cbc news email statement   at moment  continue work administration presidential permit application  approval u s  government final hurdle project  win approval nebraska  decision nebraska public service commission expected late september  politico said the project approval landowners state  all approvals place north 49th parallel [for keystone xl]   carr thursday parliament hill  keystone xl originally rejected president barack obama  turned november 2015  will serve national interests united states   ,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/business/keystone-approval-us-government-1.4037797?cmp=rss
63b2cbad9ec513bbe136bc4d701a5de3901f45e9,The Associated Press,2017-03-23T19:25:34Z,"Israeli Jewish man arrested for bomb threats against Canadian, U.S. Jewish targets",19-year-old israeli jewish man arrested israel thursday primary suspect string bomb threats targeting jewish community centres institutions canada u s israeli police spokesman micky rosenfeld described suspect hacker  motives unclear  israeli media identified american-israeli dual citizen unfit compulsory service israeli military  he's guy jcc threats   rosenfeld said  referring dozens anonymous threats phoned jewish community centres north america  well australia  zealand  israel months in canada  threats jewish community centres   calgary    u s  anti-defamation league 120 bomb threats u s  jewish community centres day schools u s  jan  9  threats led evacuations buildings  upset jewish communities raised fears rising anti-semitism  threats accompanied acts vandalism jewish cemeteries the threats led criticism white house speaking fast enough  month  white house denounced threats rejected  anti-semitic hateful threats strongest terms  u s  attorney general jeff sessions arrest justice department will tolerate religious-oriented attacks sessions statement thursday arrest result large investigation hate crimes jewish community  justice department  will tolerate targeting community country basis religious beliefs  he called work fbi israeli police  outstanding  in statement  jcc association north america president ceo doron krakow applauded work law enforcement emphasized group's community centres safe  we gratified progress investigation  applaud commitment leadership fbi federal agencies  israeli law enforcement  local law enforcement united states canada   krakow  throughout long running period concern disruption hopeful end  jccs opportunity review assess security protocols procedures  confident jccs safer today before  the head jewish community centre jersey targeted bomb threats he's thankful u s  international law enforcement prioritized investigation caught suspect jordan shenker  head kaplen jcc palisades tenafly  n j   cautiously optimistic man arrested israel thursday acted threats will over shenker arrest led feeling exhale  centre prioritized security will continue so u s  authorities arrested journalist st  louis allegedly threatening jewish organizations  juan thompson indicted york count cyberstalking but israeli police described local man primary suspect wave threats israeli police suspect dozens calls claiming bombs public places private companies  causing panic  significant economic damage   disrupting public order  including hurried evacuations number public venues world  rosenfeld man called delta airlines february 2015 false threat explosives aboard flight jfk airport york  threat allegedly led emergency landing rosenfeld man  south israel  advanced technologies mask origin calls communications synagogues  community buildings public venues  police searched house thursday morning discovered antennas satellite equipment  he regular phone lines  computer systems couldn't backtracked   rosenfeld said yaniv azani  head technology israeli police's cyber unit  man  several camouflage layers communication mechanisms  carry calls nimrod vax  co-founder u s -israeli cybersecurity firm bigid  phone calls required level sophistication   not difficult  experienced hackerafter intensive investigation co-operation fbi representatives arrived israel  well police organizations countries  technology track suspect  rosenfeld said  ,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/israeli-jewish-man-arrested-threats-1.4037564?cmp=rss
ac5fc0d549b46f0d06cd50e54ebb525f016b7627,The Associated Press,2017-03-23T19:25:34Z,Donald Trump Jr. called a 'disgrace' for slamming London Mayor Sadiq Khan after attack,donald trump jr  facing criticism tweet hours wednesday's london attack included months-old comment london mayor sadiq khan terror attacks living big city  left khan noting residents  be prepared  attacks trump jr  tweeted :  you kidding me  : terror attacks living big city  london mayor sadiq khan   tweet included link sept  22 story britain's independent newspaper included khan's quote evening standard days earlier  khan speaking newspaper york  day bomb city  leaving dozen people hurt  part parcel living great global city prepared things  vigilant  support police incredibly hard job   said british member parliament wes streeting numerous britons responded tweet criticism he called trump jr   a disgrace  accused terrorist attack  political gain  when asked trump jr  thursday  khan told cnn:  i'm going respond tweet donald trump jr  things 24 hours  he  terrorists hate fact  cities including london  york paris  diverse communities living peacefully   ,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/donald-trump-jr-sadiq-kahn-london-mayor-attack-tweet-1.4038283?cmp=rss
12e7a9065dfbbf6cda7efe21e155c44ccd7b876e,The Associated Press,2017-03-23T19:25:34Z,Exiled former Russian lawmaker shot dead in Kyiv,russian lawmaker denis voronenkov shot killed kyiv thursday ukrainian president described  act state terrorism  russia  accusation kremlin angrily rejected voronenkov  testified ukrainian investigators criticized russian policies move kyiv fall  shot dead unidentified gunman entrance upscale hotel ukrainian capital the assailant wounded voronenkov's bodyguard  fired wounded gunman  hospitalized ukrainian media cited hospital doctors day gunman died ukrainian president petro poroshenko voronenkov's killing  clearly handwriting russian special services repeatedly european capitals past  in statement released spokesman  svyatoslav tsegolko  poroshenko described victim key witness testimony  russian aggression  ukrainian authorities russian president vladimir putin's spokesman  dmitry peskov  dismissed claim russian involvement killing  absurd  statement carried russian news agencies russian foreign ministry spokeswoman maria zakharova further   killer regime  kyiv  will best will truth happened  she russia shocked hear poroshenko's accusations offering evidence ukrainian police inspecting crime scene several hours voronenkov killed  team investigators police working front door premier palace hotel  frequented kyiv's rich powerful  patch pavement door died wet water utility workers used poroshenko wasn't accidental voronenkov's killing day fire erupted ukrainian military arsenal kharkiv region  ukrainian officials caused sabotage voronenkov  45  member communist faction lower house russian parliament obediently toed kremlin line  moved ukraine wife  singer maria maksakova  lawmaker  leave russia persecution russian security agencies renounced russian citizenship  granted ukrainian citizenship he testified ukrainian investigators probe activities nation's russia-friendly president  viktor yanukovych  ousted massive protests february 2014 after move ukraine  russian investigators filed fraud charges voronenkov connection business activities  moscow court earlier month sanctioned arrest absentia ukraine's chief prosecutor  yuriy lutsenko  voronenkov shot head  neck stomach died spot lutsenko gunman carried ukrainian passport sought authorities fraud money laundering charges lutsenko investigators voronenkov's role exposing contraband ring russia cost senior security officers jobs  testimony yanukovych  motives killing nikolai kovalyov  russian security chief lawmaker  told russian state television killing rooted business dispute peskov putin informed voronenkov's killing voiced hope ukrainian authorities solve crime  voronenkov's widow return russia  ,2017-03-23T19:25:34Z,www.cbc.ca,http://www.cbc.ca/news/world/russian-lawmaker-shot-in-ukraine-kyiv-1.4037467?cmp=rss
